unique_input_record_identifier	input_title	lookup_key	input_writers	input_performers	database_song_code	database_song_title	database_song_writers
0NerbJg3H6xJMjAiUH4R9y	Colliepark	COLIEPARK	Sinistarr	Sinistarr	0142360762	COLLIEPARK	SINISTARR
719sQR7qma8K6kgMlpQSOe	I Don't Mind	IDONTMIND	Vinzenz John	Vince Johnson	0155106640	I DON'T MIND	VINZENZ JOHN
4ZVZB9inlBtfFPUdnOu4AT	Bluebird	BLUEBIRD	Katie Noonan	Katie Noonan	0133178417	BLUEBIRD	NOONAN KATIE ANNE
35e7ckbWgHjHI9n3oL6jnd	Malade	MALADE	Eazy Dew,Pierre Bertrand,RomÃÂ©o Elvis,Vladimir Cauchemar	RomÃÂ©o Elvis	0155526217	MALADE	ELVIS R/BERTRAND P/BRIERE G
2wRZk21Klib9hcPslNwyqD	Dembese	DEMBESE	Tete Mbambisa	Brian Thusi	0140785791	DEMBESE	THUSI B/MAMBISA T
7MnxdsnHrXOgnqpAv6K04d	Why Don't You Fall in Love with Me? - Remastered	WHYDONTYOUFALINLOVEWITHME	Al Lewis,Mabel Wayne	Connee Boswell	0103248453	WHY DONT YOU FALL IN LOVE WITH ME	LEWIS A/WAYNE M
252htgicGlEQdV2se6iZdJ	Dear X, You Don't Own Me	DEARXYOUDONTOWNME	Ben Glover,Kevin Young,Rob Hawkins	Disciple	0140170853	DEAR X YOU DON'T OWN ME	YOUNG K/GLOVER B/HAWKINS R
40nsQucs2zbec1F8JBi0iJ	New Generation	NEWGENERATION	Csaba Zvekan	Raven Lord	0152169085	NEW GENERATION	CSABA ZVEKAN
2gU1CTTz1Gl05yF13Ub2Ol	Let Me Fall in Love	LETMEFALINLOVE	Sebastian Olzanski	Sebastian Olzanski	0155511794	LET ME FALL IN LOVE	SEBASTIAN OLZANSKI
3iWHl7QFmQ9HmXgDEyzxop	Sign Of Relief	SIGNOFRELIEF	Anne Jennifer Dudley,Gary Langan,Jonathan Edward Jeczalik,Paul Robert Morley,Trevor Charles Horn	Art Of Noise	0144739698	SIGN OF RELIEF	DUDLEY/HORN/JECZALIK/LANGAN/MORLEY
1aexn5XUwWBcCn8T36IYK3	Joy Through Death	JOYTHROUGHDEATH	Aleksi KiiskilÃÂ¤,Juho Vanhanen,Mat McNerney,Rainer Tuomikanto,Valtteri Arino	Grave Pleasures	0152428529	JOY THROUGH DEATH	/VANHANEN/MCNERNEY/ARR/ARINO/KIISKILAE/T
4O0YeW6g2zD3uPUbqR2i5G	Any Other Way	ANYOTHERWAY	William Bell	Jackie Shane	0134360211	ANY OTHER WAY	BELL WILLIAM (USA)
45nQhPpDCj5ORSgFPv8EHw	Rise Up	RISEUP	A. Mason,E. Banta	Greenwood Rhythm Coalition	0151806646	RISE UP	BANTA E/MASON A
4lJO3eyYqw9CT8mKljyJu5	Sunday Kinda Love (feat. Aaron Lindsey, PJ Morton & Nikki Ross)	SUNDAYKINDALOVE	Aaron Lindsey,Israel Houghton	Israel Houghton	0145299367	SUNDAY KINDA LOVE	LINDSEY A/HOUGHTON I
58gn5gg9fpam1eQB0MLHe2	To Be By Your Side	TOBEBYYOURSIDE	Bruno Coulais,Nick Cave	Nick Cave	0133505468	TO BE BY YOUR SIDE	COULAIS B/CAVE N
0AjfHlfaz7JEvPMsPJNeXO	"Flying Theme (From ""E. T."")"	FLYINTHEME	John Williams	Philharmonische Orchester des Staatstheaters Cottbus	0101151252	FLYING THEME (FROM E.T.)	WILLIAMS JOHN T
3PhIQPwCeWV5TfrZkuwXWp	Too Fat Polka	TOOFATPOLKA	Arthur Richardson,Ross Mac Lean	Craig Duncan	0101112096	TOO FAT POLKA	MACLEAN R/RICHARDSON A
00ObrTLihRBZzDGPypzxON	Por Eso, Estoy Preso	PORESOESTOYPRESO	Cacho Valdez,Eduardo Franco,Momy	Los Iracundos	0131116800	POR ESO ESTOY PRESO	FINKELBERG J/FRANCO D/MOSENKIS J
2buPtPaKomtwoT8YvxO13f	L'Anno Che VerrÃÂ 	LANOCHEVERA	Lucio Dalla	Lucio Dalla	0101388079	L'ANNO CHE VERRA	DALLA LUCIO
4drhI0HFUrZhtQFM6UTezn	A Guy That I'd Kinda Be Into	GUYTHATIDKINDABEINTO	Joe Iconis	'Be More Chill' Ensemble,Be More Chill,Stephanie Hsu	0149019152	GUY THAT I'D KINDA BE INTO	ICONIS JOSEPH P
0FwmxfNxIpFhyWVYhFHDBw	Un mundo de zurdos	MUNDODEZURDO	Ferran PontÃÂ³n	Egon Soda	0149298311	UN MUNDO DE ZURDOS	FERNANDO PONTON
5Xz7X81CO6r9o6nD9cMCb3	Million Miles	MILIONMILE	Dirk Duderstadt,Marco Duderstadt	Inpetto	0151743455	MILLION MILES	DUDERSTADT/DUDERSTADT/LINSCHOTEN VAN/TIK
2uOctwnoNqfkEVwEwqzLHt	Africans	AFRICAN	Farhad Samadzada,Nneka-Lucia Egbuna,Sven Waje	Nneka	0142352368	AFRICANS	WAJE S/SAMADZADA F/EGBUNA N
4lRgXXGKwulNmOP9IPFE9I	Bout Mine	BOUTMINE	A. Thompson,L. Smith,M. Seymour,M. Young,T. CASTILLO,W. Roberts	Trick Daddy	0129652303	'BOUT MINE	YOUNG/ROBERTS/SEYMOUR/CASTILLO/THOMPSON
11cLIOqkyRLR3huCNp3XmH	Sonata for Violin and Basso Continuo in E Minor, TWV 41:e8: IV. Allegro	SONATAFORVIOLIN&BASOCONTI	Georg Philipp Telemann	Boris Begelman	0148531178	SONATA FOR VIOLIN AND BASSO CONTINUO IN E MINOR, TWV 41:E8:	GEORG PHILIPP TELEMANN
3FF9wbD0NhvitcpIl4475p	Introducing Pikuniku Again, Trailer 2	INTRODUCINPIKUNIKUAGAINTR	Calum Bowen	Calum Bowen	0155754994	INTRODUCING PIKUNIKU AGAIN, TRAILER 2	CALUM BOWEN
2RQsuMwdpU6kJaqXEjWQJ4	Evening Meditation	EVENINMEDITATION	Marco Rinaldo	Kundalini: Yoga,Meditation,Relaxation	0153047862	EVENING MEDITATION	MARCO RINALDO
3UvbQ1Z0TzAcudQGAAqzKq	Parting Gifts	PARTINGIFT	Loene Carmen	Lo Carmen	0151001008	PARTING GIFTS	CARMEN LOENE
3NelcGZ46JmV9LqOD1pnxA	Faith (feat. Quavo)	FAITH	AMIR ESMAILIAN,Navraj Goraya,Quavo,Trouble	NAV	0154082574	FAITH	GORAYA/MARSHALL/BACCHUS/ESMAILIAN
3vVwpJHliGBdF25iKpUBL9	Egyptian Fantasy	EGYPTIANFANTASY	Bechet,Reid	Sidney Bechet	0100067832	EGYPTIAN FANTASY	/BECHET S/REID J
0Fifn4lBIGM5LG18Whp1Dx	Corners	CORNER	Denny White,Isaac Slade,Joe King,Julia Michaels	The Fray	0149004735	CORNERS	MICHAELS J/WHITE D/KING J/SLADE I
77mUbCKj0mRaJmDOZZHqp5	The Jinnouchi Family	JINOUCHIFAMILY	Akihiko Matsumoto	Akihiko Matsumoto	0151042344	THE JINNOUCHI FAMILY	AKIHIKO MATSUMOTO
7BFXyMBsWhla1B5Sg9eTYJ	Musik im Polkaschwung	MUSIKIMPOLKASCHWUNG	Huby Mayer	Die Fidelen MÃÂ¶lltaler	0151655574	MUSIK IM POLKASCHWUNG	MAYER HUBY
5OIUh3wKcgz17QJeeuN2uM	No Way Out	NOWAYOUT	Christopher Hjelte,Thomas Sundin	Dr. Living Dead	0147740039	NO WAY OUT	PETERSSON S/HJELTE C
24CCu1Cu0iyKH6UpgV2DsU	We Believe (Apostle's Creed)	WEBELIEVE	Keith Getty,Kristyn Getty,Stuart Townend	Keith & Kristyn Getty	0150030334	WE BELIEVE (APOSTLE'S CREED)	GETTY K/LENNOX K/TOWNEND S
0T7HXGIo3QUS0y760PQse0	Seemannslied	SEEMANSLIED	Eric Hecht,Ingo Hampf,Michael Bodenski	Subway To Sally	0135676743	SEEMANNSLIED	BODEN M/HAMPF I/HECHT E/HECHT G
5lAUS46liAnSyUYg7JXlMT	Fiesta: II. Tarantella	FIESTAIITARANTELA	"Scott Tenant (based on Horacio Salinas's compositions for ""Inti Illimani"")"	Los Angeles Guitar Quartet	0143709826	FIESTA: II. TARANTELLA	SCOTT TENANT
7xnxVpJdZW2LKHuaWAD3Nl	Kadath	KADATH	NECRONOMIDOL	NECRONOMIDOL	0155129334	KADATH	NECRONOMIDOL
06xImgTBqFA091xRsP7b5O	Get Me To The Church On Time	GETMETOCHURCHONTIME	Alan Jay Lerner,Frederick Loewe	Nat King Cole	0101478044	GET ME TO THE CHURCH ON TIME	LERNER A/LOEWE F
7McphnwCoNfmUF8xfDmIz4	Miss U	MISU	Kruse,Nuernberg,Teeange Mutants	Kruse & Nuernberg,Teenage Mutants	0147429460	MISS U	KRUSE/NUERNBERG/TEEANGE MUTANTS
4InHKArd1x3l1jiRuELeEj	Mas Que Nada	MASQUENADA	Jorge Ben Jor	MC Joe,The Vanillas	0102139384	MAS QUE NADA	/MENEZES JORGE LIMA/JORGE BEN
1cJplXaTMuBgA4qTc90MgW	I Forgot	IFORGOT	Turboweekend	Turboweekend	0143062367	I FORGOT	TURBOWEEKEND
781CvX8B4kgvwdfVmWuv94	Cotton Candy (Craig C. Retro Blaster Remix)	COTONCANDY	Chris Castagno,Danny Blumenfeld,Luke Caswell	Amanda Lepore	0141530785	COTTON CANDY	BLUMENFELD D/CASTAGNO C/CASWELL L
6ZhlMEJK5UIO1djk8qx9lm	O Caminho	OCAMINHO	Bebel Gilberto	Bebel Gilberto	0133511666	O CAMINHO	GILBERTO BEBEL
34iWBchBQIeCeqy3yMLP74	En tid av stulen lycka	ENTIDAVSTULENLYCKA	Haidi Krohn,Kent Fingal	Lasse Stefanz	0144560623	EN TID AV STULEN LYCKA	KENT FINGAL
729IOhIgI8kW0WtgdLCAXJ	The Dancing in Kyle	DANCININKYLE	Duguid,Pritchard	The Alexander Brothers	0143787709	THE DANCING IN KYLE	PRITCHARD/DUGUID/ARR SCOTT
6tNlelof8u1o8pIq0DBBSB	The Return	RETURN	Dominic Thomas	Whyte Horses	0153517592	THE RETURN	THOMAS DOMINIC RUSSELL
0u59seilVVIiqnrxZiQPCK	Me Leva Pra Casa	MELEVAPRACASA	Carlos Roberto Piazolli,Cesar Augusto,JosÃÂ© Paulo Soares,Mario Campanha,Martinez,Piska	ZezÃÂ© Di Camargo & Luciano	0112173518	ME LEVA PRA CASA	PISKA  /AUGUSTO CESAR  /PLOPSCHI ZENITH
3ZBFngMpeioFtHj0uryZGx	Salaa yksinÃÂ¤inen nainen	SALAYKSINAINENNAINEN	Laura NÃÂ¤rhi,Matti Mikkola	Laura NÃÂ¤rhi	0140359006	SALAA YKSINAINEN NAINEN	MATTI MIKKOLA
1qgmJ4zIuP3PX0M5Exdv98	Happy Go Lucky	HAPYGOLUCKY	Paul Hardcastle	Paul Hardcastle	0154519614	HAPPY GO LUCKY	PAUL HARDCASTLE
1zbFYFFp003w3i6o0foVeW	Moonlight Night	MOONLIGHTNIGHT	-,Robbie van Leeuwen	Shocking Blue	0131709695	MOONLIGHT NIGHT	LEEUWEN ROB
5pwfHIykTlUJzzniVC18hl	Music	MUSIC	Ali Schwarz,Basti Schwarz,Joy Denalane,Peter Hoff	Tiefschwarz	0126080272	MUSIC	HOFF P/SCHWARZ S/SCHWARZ A/DENALANE J
0EkGVxpPTlO5774mopmmBn	PasiÃÂ³n y AdiÃÂ³s	PASIONYADIO	Liliana Gimenez,Stefano Micarelli	Alacran	0148388590	PASION Y ADIOS (IT)	MICARELLI S/GIMENEZ L
2XWOFeKVnwP6X4uJL0s9W8	Funk de Fino	FUNKDEFINO	Graham Drinnan	Gypsy	0122425577	FUNK DE FINO	DRINNAN GRAHAM
2FOBFj915HDE0yfLKmZogJ	Empty Batteries	EMPTYBATERIE	Adam Woloszyn,Bradley Chester Kochmit,Elias Soriano,Rasheed Thomas,Robb Rivera	Nonpoint	0154388178	EMPTY BATTERIES	ELIAS SORIANO/BRADLEY CHESTER KOCHMIT/RA
2152wA6Fzj72ouJNABlZMC	Omstart	OMSTART	Eirik Boe,Erik Boe,Erlend Oye,ErlendOye&EirikBoe,Keigo Oyamada	Cornelius	0134859668	OMSTART	BOEE E/OEYE E/OYAMADA K
0ygOxj62KAQpaODqo7GVFI	Jigsaw	JIGSAW	Gene Shinozaki	Gene Shinozaki	0155228693	JIGSAW	GENE SHINOZAKI/KAILA MULLADY
2V7QMzG6hyKXQQ8RVuBAZp	Queens	QUEEN	Her,Zefire	Her	0151452403	QUEENS	HER/ZEFIRE
5JKiY5vBCnXPIj5mQHuhJu	Welcome to New Zealand	WELCOMETONEWZEALAND	Douglas Stenhouse,Katherine Rosina Bee	Kath Bee	0149685055	WELCOME TO NEW ZEALAND	BEE K/STENHOUSE D
6F2BORgWIvqv7HgFQ7tUi1	Battle Sirens (feat. Knife Party)	BATLESIREN	Gareth McGrillen,Rob Swire,Tom Morello	Tom Morello	0149786305	BATTLE SIRENS	SWIRE T/MORELLO T/MCGRILLEN G
7nwV6uwksCWKqIhJ2Ri7qM	Massage Lounge Music	MASAGELOUNGEMUSIC	Marco Rinaldo	Massage Wellness Moment	0151944427	MASSAGE LOUNGE MUSIC	MARCO RINALDO/NIEZNANY
2wsZz1q8bhTnP6I1uvmVGj	Lebe deinen Traum	LEBEDEINENTRAUM	Thomas Hammerl	Oberkrainer Power	0146488755	LEBE DEINEN TRAUM	THOMAS HAMMERL
2hw3gvVGXnF50DMHnVBwb2	Doesn't Matter Anyway	DOESNTMATERANYWAY	Jon Oliva,Paul O'Neill	Savatage	0141957722	DOESN'T MATTER ANYWAY	JON OLIVA/JON OLIVA/PAUL ONEILL/PAUL ONE
6Oq7fsdhGo8YfK9QqhT2HW	Tearing Me Up	TEARINMEUP	Matt Shelton	Wolverines	0129786788	TEARING ME UP	SHELTON MATTHEW
740FyKQuCtseWohjEtW2c0	Everything	EVERYTHIN	Christopher Cross,Rob Meurer	Christopher Cross	0140772638	EVERYTHING	CROSS CHRISTOPHER/MEURER ROB
666oy0OHH5qGtJgTnC6tfA	Hello (It's Me Are You There)	HELO	Thilo Jacks	Jaqee	0153466611	HELLO (IT'S ME ARE YOU THERE) (DE)	THILO JACKS
3W3P5rOSOP6gxqZFzSe8xL	Sur mon epaule	SURMONEPAULE	D. McNeil,E Anais,Philippe Lavil	Philippe Lavil	0146537192	SUR MON EPAULE	ANAIS E/LAVIL P/MC NEIL D
1cEX1AYeEul6KJzUvweWdK	Got To Cry	GOTTOCRY	James Brown	James Brown & The Famous Flames	0142968936	GOT TO CRY	BROWN J/BROWN J
7Fx9WpTSXLTQux8MrXEGkU	The Forest Floor	FORESTFLOOR	Christopher Johnson	Baba Bubo,Kri Samadhi	0151165143	THE FOREST FLOOR	CHRISTOPHER JOHNSON
4199BdsVeDq0CN0HQpHfQ4	Orange Loft	ORANGELOFT	Marcel FlorschÃÂ¼tz,Thomas Knoll	Boss Axis	0141002559	ORANGE LOFT	MARCEL FLORSCHUTZ
7M0GaGDy4MMGZxiVMZjMja	Chillout 69	CHILOUT69	Marco Rinaldo	Beach House Chillout Music Academy,Chillout,Ibiza Chill Out	0153476452	CHILL OUT 69	MARCO RINALDO
6hWOzchcVbVHuyA5Mb88bs	Secret Agent	SECRETAGENT	Philip Glass	English Chamber Orchestra	0113915426	SECRET AGENT (THEME)	GLASS PHILIP
2mkRpRkO1rMnUB6b9fEvYE	Just for Her	JUSTFORHER	The Last Resort	Logic	0148380991	JUST FOR HER	LAST RESORT
08r5ou7k9ZaLiHN8TX5RWo	One For My Baby	ONEFORMYBABY	Harold Arlen,Johnny Mercer	Robbie Williams	0101563920	ONE FOR MY BABY	ARLEN H/MERCER J
52gNbUZRu5pY9l5e1ahtkS	A Thousand Years (Sax Melody)	THOUSANDYEAR	Christina Judith Perri,David Hodges	The Rubber Band	0141933034	A THOUSAND YEARS	PERRI C/HODGES D
7dGkM8V2ONUzPfQ9FdHOVf	Recercada Romanesca	RECERCADAROMANESCA	Diego Ortiz	Capella De La Torre	0150905986	RECERCADA ROMANESCA	DIEGO ORTIZ
1M3S6bnTa3mRMLUZqzkUbA	Brand New	BRANDNEW	Brooklyn JovÃÂ© Pakathi,Jacques Du Toit,Luca Ronald Zeeman,Nicolas Gonzalez,Wesley Smuts	Climate Control	0155699603	BRAND NEW	NICOLAS GONZALEZ/BROOKLYN JOVE PAKATHI/J
0xdhqG3HQBOBviaMEiPgHR	Tap Tap Tap	TAPTAPTAP	Drumcorps	Drumcorps	0152968073	TAP TAP TAP	DRUMCORPS
4EzUG55GQmovhxjqUWSiYo	Gate 3	GATE3	J. Ginzburg,P. Purgas	Emptyset	0139381677	GATE 3	GINZBURG J/PURGAS P
4yoi5sglz8YR3SX2WwPpgC	Our Father	OURFATHER	Brooke Ligertwood,Jonas Myrin,Scott Ligertwood	Hillsong Worship	0146287633	OUR FATHER	FRASER B/LIGERTWOOD S/MYRIN J
2uYnPIbuOAAT6h0pLgF4vQ	Sandman	SANDMAN	Michael E	Michael E	0147603846	SANDMAN	MICHAEL E FRITH
5cR93FH9SJKzkS6QhPHg7W	Llamame	LAMAME	Emmanuel Horvilleur,Rafael Arcaute	Emmanuel Horvilleur	0136443293	LLAMAME	HORVILLEUR E/ARCAUTE R
6v8FXSmKMFGwFp23wK1DXD	Tell Me	TELME	Allan Ayque,Louie Ocampo	Joey Albert	0133406117	TELL ME	/OCAMPO LOUIE/AYQUE A/OCAMPO JR J
73liEZrnhX2XNXSLifO2xM	Get Away	GETAWAY	Andreas Dyre Odbjerg,Andreas Kongsted Jensen,Ben Cauley,Daniel Thorup,David Porter,Haruna James Wasajja,Harvey J Henderson,Ida Kudo HÃÂ¸ffding,James Alexander,Larry Charles Dodson,Steffen Simon Aba,Willie Hall,Winston Allen Stewart	Kongsted	0152757280	GET AWAY	JENSEN/ABA/HOEFFDING/ODBJERG/THORUP/WASA
3swIgDTjS5zcmsVzvTeTMr	The Unicorn	UNICORN	Shel,Silverstein	The Wayfarers	0100125999	UNICORN	SILVERSTEIN SHEL
